,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,2060600,232300,0.8716814159292036,0.6981132075471699,0.6029231577104849,0.6273383749360323,0.7948538421144757,0.28559017423509075,"[[190, 7], [22, 7]]"
1,2173900,225800,0.9070796460176991,0.8722741433021808,0.6673376509714686,0.7183549937689158,0.9093295991598109,0.49918125228258636,"[[195, 2], [19, 10]]"
2,4099900,226700,0.8628318584070797,0.6950680272108843,0.70077017328899,0.6978479320308794,0.8414143182216,0.3957971279646717,"[[181, 16], [15, 14]]"
3,3220500,241200,0.8407079646017699,0.6374464917178485,0.6292665849816208,0.6331168831168831,0.8436898302117977,0.2665876111305318,"[[180, 17], [19, 10]]"
4,3596000,236400,0.8849557522123894,0.7431998286571,0.6987572203745842,0.7175,0.8470155785051636,0.4397168267849679,"[[187, 10], [16, 13]]"
5,3252000,220300,0.8716814159292036,0.7019230769230769,0.6323297741991948,0.6556868925663252,0.8288114825835813,0.32692773008625264,"[[188, 9], [20, 9]]"
6,3833000,231700,0.8893805309734514,0.7562388591800356,0.7012952914405741,0.7237298909588773,0.8813232977419919,0.4542231867135164,"[[188, 9], [16, 13]]"
7,2128200,214800,0.8716814159292036,0.6981132075471699,0.6029231577104849,0.6273383749360323,0.8319621914930859,0.28559017423509075,"[[190, 7], [22, 7]]"
8,2040500,267000,0.8982300884955752,0.851388888888889,0.6328548923507789,0.6772831688085925,0.8186591983196219,0.43212837447496155,"[[195, 2], [21, 8]]"
9,3509400,226200,0.9026548672566371,0.8122713200112581,0.6942061963941887,0.7337759691582779,0.8892000700157535,0.49252421383066614,"[[192, 5], [17, 12]]"
10,3792000,259000,0.8672566371681416,0.7005397357156151,0.6886049361106249,0.6942640692640693,0.855242429546648,0.38896161271922547,"[[183, 14], [16, 13]]"
11,3885400,232100,0.8628318584070797,0.6846122112211221,0.6566602485559251,0.6687000520168345,0.8207596709259584,0.3401258290477801,"[[184, 13], [18, 11]]"
12,5290400,239700,0.8761061946902655,0.716858992400788,0.6348678452651847,0.6611694152923538,0.8457903028181342,0.3420368695417109,"[[189, 8], [20, 9]]"
13,3804200,233600,0.8539823008849557,0.6613036303630363,0.6368807981795904,0.6473258618243722,0.8029056537720987,0.29718256795012743,"[[183, 14], [19, 10]]"
14,1991100,224300,0.8893805309734514,0.7622863247863247,0.6718886749518642,0.7031783556606251,0.8429896726763522,0.4246600938421959,"[[190, 7], [18, 11]]"
15,3124000,228600,0.9203539823008849,0.8758795384182381,0.733765097146858,0.7821803384022274,0.8475406966567478,0.592849110023303,"[[194, 3], [15, 14]]"
16,4413700,246700,0.8849557522123894,0.7442508710801394,0.6840539121302293,0.7076616915422885,0.8384386486959565,0.4240534323102028,"[[188, 9], [17, 12]]"
17,5950200,294100,0.8539823008849557,0.6613036303630363,0.6368807981795904,0.6473258618243722,0.7671976194643796,0.29718256795012743,"[[183, 14], [19, 10]]"
18,4484900,227400,0.8805309734513275,0.7312293729372937,0.6962191493085945,0.7114484324017591,0.8730964467005077,0.42601235124308545,"[[186, 11], [16, 13]]"
19,4471700,228100,0.8539823008849557,0.6327380952380952,0.5780675652021705,0.5927927927927928,0.8050061263784352,0.20359312272090055,"[[187, 10], [23, 6]]"
20,3768800,244400,0.8805309734513275,0.7321047008547008,0.6521092245755296,0.6794326241134752,0.8881498337125853,0.37579391196422424,"[[189, 8], [19, 10]]"
