,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,3809600,574900,0.8948545861297539,0.8246029753311155,0.8391873278236914,0.8315682297387219,0.9478223796405615,0.6636300650397952,"[[337, 26], [21, 63]]"
1,7513200,971200,0.8926174496644296,0.8181089743589743,0.8515348288075562,0.8330532212885153,0.9390003935458481,0.6688090425328572,"[[333, 30], [18, 66]]"
2,6763900,842800,0.8791946308724832,0.7974424552429668,0.8432703659976387,0.8167031164570804,0.9266692903056539,0.6390717658432093,"[[327, 36], [18, 66]]"
3,6685100,825100,0.9105145413870246,0.8470300061236986,0.8717040535222353,0.8585084831602937,0.9591368227731865,0.7183104063565415,"[[339, 24], [16, 68]]"
4,6461900,760500,0.8747203579418344,0.7922841396203306,0.8130657221566313,0.8019118764244112,0.9093532729896366,0.6049930420927779,"[[331, 32], [24, 60]]"
5,5011700,548700,0.8769574944071589,0.7950657894736842,0.8235930735930737,0.8079071766222605,0.9060737242555424,0.6180007952355927,"[[330, 33], [22, 62]]"
6,3680500,562500,0.8993288590604027,0.8304574638844302,0.8510920897284534,0.8401351082853169,0.9265709038436312,0.6812371145542483,"[[337, 26], [19, 65]]"
7,5841100,733000,0.9060402684563759,0.847911794186435,0.8414994096812278,0.8446478220574606,0.9404761904761905,0.6893813816337206,"[[343, 20], [22, 62]]"
8,6278900,753400,0.9105145413870246,0.8470300061236986,0.8717040535222353,0.8585084831602937,0.9546110455201364,0.7183104063565415,"[[339, 24], [16, 68]]"
9,5965800,764100,0.8881431767337807,0.8128138395590937,0.8350550964187328,0.8231356039503672,0.9261445625081989,0.6474870536916894,"[[334, 29], [21, 63]]"
10,5110100,702500,0.8769574944071589,0.794742268041237,0.8281680440771351,0.8094968733776046,0.9291289518562246,0.622012841057004,"[[329, 34], [21, 63]]"
11,6978400,1010900,0.8926174496644296,0.8161302982731554,0.8698347107438017,0.8383460912542945,0.9541191132100223,0.6838595101896418,"[[329, 34], [14, 70]]"
12,6789700,773200,0.9172259507829977,0.8552183014354067,0.8895611963793781,0.8707739188186117,0.9575954348681621,0.7439872753831953,"[[339, 24], [13, 71]]"
13,3883200,580900,0.901565995525727,0.8371931971912645,0.8433195592286502,0.840201494962626,0.9195362718089991,0.6804851793672049,"[[340, 23], [21, 63]]"
14,4615800,623900,0.9060402684563759,0.8401867728107777,0.8643742621015349,0.8514339073183084,0.9590384363111636,0.7041457358235711,"[[338, 25], [17, 67]]"
15,4730300,653100,0.9149888143176734,0.857004937958977,0.8698839039748131,0.863219094247246,0.9635642135642135,0.7267747386654336,"[[342, 21], [17, 67]]"
16,5823200,771800,0.9149888143176734,0.8512731481481481,0.8881837859110586,0.8678338001867414,0.9622195985832349,0.738535146183428,"[[338, 25], [13, 71]]"
17,3870200,552500,0.883668903803132,0.8040634005763689,0.8460251869342779,0.8220759338640539,0.9283582579037125,0.6487329035105596,"[[329, 34], [18, 66]]"
18,4070000,575400,0.8859060402684564,0.8105737241855502,0.8245277449822904,0.8172336109930812,0.906270497179588,0.6349481565000041,"[[335, 28], [23, 61]]"
19,4986200,666600,0.9060402684563759,0.8401867728107777,0.8643742621015349,0.8514339073183084,0.9358520267611177,0.7041457358235711,"[[338, 25], [17, 67]]"
